name,Pop_25+,Low,High,Prop_L,Prop_H
Acadia,35647,26093,9554,0.7320,0.2680
Allen,16889,12571,4318,0.7443,0.2557
Ascension,46353,28738,17615,0.6200,0.3800
Assumption,14477,11169,3308,0.7715,0.2285
Beauregard,21125,13577,7548,0.6427,0.3573
Calcasieu,114657,65921,48736,0.5749,0.4251
Cameron,6333,4671,1662,0.7376,0.2624
East Baton Rouge,245411,104201,141210,0.4246,0.5754
East Feliciana,13959,9546,4413,0.6839,0.3161
Evangeline,21577,16171,5406,0.7495,0.2505
Iberia,44043,31493,12550,0.7151,0.2849
Iberville,21177,15444,5733,0.7293,0.2707
Jefferson,298862,151473,147389,0.5068,0.4932
Jefferson Davis,19431,13896,5535,0.7151,0.2849
Lafayette,116289,57129,59160,0.4913,0.5087
Lafourche,55969,40054,15915,0.7156,0.2844
Livingston,56616,37286,19330,0.6586,0.3414
Orleans,300669,146559,154110,0.4874,0.5126
Plaquemines,16528,10780,5748,0.6522,0.3478
Pointe Coupee,14659,10199,4460,0.6958,0.3042
Rapides,79903,47199,32704,0.5907,0.4093
Sabine,15470,10786,4684,0.6972,0.3028
St. Bernard,44209,28604,15605,0.6470,0.3530
St. Charles,29649,16581,13068,0.5592,0.4408
St. Helena,6568,4675,1893,0.7118,0.2882
St. James,12924,9148,3776,0.7078,0.2922
St. John the Baptist,25467,15747,9720,0.6183,0.3817
St. Landry,53665,38179,15486,0.7114,0.2886
St. Martin,29689,22194,7495,0.7475,0.2525
St. Mary,33233,23989,9244,0.7218,0.2782
St. Tammany,123071,52419,70652,0.4259,0.5741
Tangipahoa,59997,37594,22403,0.6266,0.3734
Terrebonne,63350,43495,19855,0.6866,0.3134
Vermilion,33693,24322,9371,0.7219,0.2781
Vernon,29423,16515,12908,0.5613,0.4387
Washington,28033,20110,7923,0.7174,0.2826
West Baton Rouge,13431,8971,4460,0.6679,0.3321
West Feliciana,10813,7607,3206,0.7035,0.2965
