name,Pop_25+,Low,Moderate,High,Prop_L,Prop_M,Prop_H,Total_Damage,Prop_Damages
Acadia,35647,26093,8349,1205,0.7320,0.2342,0.0338,5318,0.1495
Allen,16889,12571,3724,594,0.7443,0.2205,0.0352,3640,0.2164
Ascension,46353,28738,15672,1943,0.6200,0.3381,0.0419,4223,0.0913
Assumption,14477,11169,2902,406,0.7715,0.2005,0.0280,2045,0.1419
Beauregard,21125,13577,6510,1038,0.6427,0.3082,0.0491,6176,0.2936
Calcasieu,114657,65921,42605,6131,0.5749,0.3716,0.0535,44170,0.3856
Cameron,6333,4671,1428,234,0.7376,0.2255,0.0369,3241,0.5180
East Baton Rouge,245411,104201,113373,27837,0.4246,0.4620,0.1134,17153,0.0699
East Feliciana,13959,9546,3844,569,0.6839,0.2754,0.0408,1152,0.0830
Evangeline,21577,16171,4643,763,0.7495,0.2152,0.0354,1670,0.0776
Iberia,44043,31493,11139,1411,0.7151,0.2529,0.0320,6535,0.1486
Iberville,21177,15444,5077,656,0.7293,0.2397,0.0310,2239,0.1061
Jefferson,298862,151473,126417,20972,0.5068,0.4230,0.0702,93872,0.3142
Jefferson Davis,19431,13896,4873,662,0.7151,0.2508,0.0341,5779,0.2986
Lafayette,116289,57129,50056,9104,0.4913,0.4304,0.0783,4662,0.0401
Lafourche,55969,40054,13698,2217,0.7156,0.2447,0.0396,9336,0.1670
Livingston,56616,37286,17488,1842,0.6586,0.3089,0.0325,7153,0.1265
Orleans,300669,146559,121813,32297,0.4874,0.4051,0.1074,134664,0.4480
Plaquemines,16528,10780,5297,451,0.6522,0.3205,0.0273,7217,0.4388
Pointe Coupee,14659,10199,3835,625,0.6958,0.2616,0.0426,938,0.0643
Rapides,79903,47199,27882,4822,0.5907,0.3489,0.0603,56,0.0007
Sabine,15470,10786,3962,722,0.6972,0.2561,0.0467,1508,0.0980
St. Bernard,44209,28604,14358,1247,0.6470,0.3248,0.0282,20247,0.4588
St. Charles,29649,16581,11460,1608,0.5592,0.3865,0.0542,8137,0.2754
St. Helena,6568,4675,1500,393,0.7118,0.2284,0.0598,1757,0.2708
St. James,12924,9148,3240,536,0.7078,0.2507,0.0415,2464,0.1919
St. John the Baptist,25467,15747,8719,1001,0.6183,0.3424,0.0393,6609,0.2604
St. Landry,53665,38179,13430,2056,0.7114,0.2503,0.0383,5078,0.0948
St. Martin,29689,22194,6568,927,0.7475,0.2212,0.0312,2551,0.0861
St. Mary,33233,23989,8333,911,0.7218,0.2507,0.0274,4637,0.1398
St. Tammany,123071,52419,58904,11748,0.4259,0.4786,0.0955,48812,0.3970
Tangipahoa,59997,37594,19089,3314,0.6266,0.3182,0.0552,16242,0.2711
Terrebonne,63350,43495,17475,2380,0.6866,0.2758,0.0376,11392,0.1801
Vermilion,33693,24322,8251,1120,0.7219,0.2449,0.0332,7703,0.2291
Vernon,29423,16515,11527,1381,0.5613,0.3918,0.0469,4439,0.1514
Washington,28033,20110,6631,1292,0.7174,0.2365,0.0461,11147,0.3988
West Baton Rouge,13431,8971,3984,476,0.6679,0.2966,0.0354,1079,0.0808
West Feliciana,10813,7607,2693,513,0.7035,0.2491,0.0474,310,0.0288
