name,Pop_25+,Moderate,Prop_M,Total_Damage,Prop_Damages
Acadia,21171,9287,0.4387,5318,0.1495
Allen,8127,3547,0.4364,3640,0.2164
Ascension,26773,14039,0.5244,4223,0.0913
Assumption,8217,3838,0.4671,2045,0.1419
Beauregard,12130,6003,0.4949,6176,0.2936
Calcasieu,68757,32678,0.4753,44170,0.3856
Cameron,3592,1792,0.4989,3241,0.5180
East Baton Rouge,156521,70152,0.4482,17153,0.0699
East Feliciana,6687,2896,0.4331,1152,0.0830
Evangeline,12769,4556,0.3568,1670,0.0776
Iberia,25319,11546,0.4560,6535,0.1486
Iberville,10672,4543,0.4257,2239,0.1061
Jefferson,176424,89257,0.5059,93872,0.3142
Jefferson Davis,11519,5103,0.4430,5779,0.2986
Lafayette,72412,34162,0.4718,4662,0.0401
Lafourche,32093,16337,0.5091,9336,0.1670
Livingston,32654,17797,0.5450,7153,0.1265
Orleans,188365,75583,0.4013,134664,0.4480
Plaquemines,9001,4355,0.4838,7217,0.4388
Pointe Coupee,8453,3908,0.4623,938,0.0643
Rapides,47161,21237,0.4503,56,0.0007
Sabine,9237,4019,0.4351,1508,0.0980
St. Bernard,25065,13058,0.5210,20247,0.4588
St. Charles,16393,8287,0.5055,8137,0.2754
St. Helena,3865,1581,0.4091,1757,0.2708
St. James,6999,3222,0.4604,2464,0.1919
St. John the Baptist,14250,7176,0.5036,6609,0.2604
St. Landry,32332,12797,0.3958,5078,0.0948
St. Martin,17121,8067,0.4712,2551,0.0861
St. Mary,19271,8520,0.4421,4637,0.1398
St. Tammany,69281,32639,0.4711,48812,0.3970
Tangipahoa,36516,16432,0.4500,16242,0.2711
Terrebonne,36017,17567,0.4877,11392,0.1801
Vermilion,19836,8982,0.4528,7703,0.2291
Vernon,18276,9572,0.5237,4439,0.1514
Washington,16454,6704,0.4074,11147,0.3988
West Baton Rouge,7672,3891,0.5072,1079,0.0808
West Feliciana,3622,1701,0.4696,310,0.0288
